seed,rotate,pair_group,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s,finetune_result,finetune_failed_conditions,finetune_rel_x_m,finetune_rel_y_m,finetune_rel_z_m,finetune_orientation_alignment,finetune_inhand_status,finetune_inhand_bias_m,finetune_stop_reason,finetune_actions,finetune_cost_step,finetune_cost_time_s
1000020,pi,both_failed,failed,x+z_depth+orientation+inhand_bias,-0.015583800,-0.008910353,-0.008273314,0.959455661,fail,0.040007700,inhand_early_stop,180,580,57.526478,failed,x+z_depth+orientation+inhand_bias,-0.014188973,-0.008057744,-0.007767738,0.911642157,fail,0.040107933,inhand_early_stop,186,586,59.441260
1000021,pi,both_failed,failed,z_depth+inhand_bias,-0.002412751,-0.000363409,-0.021164015,0.994064210,fail,0.040169180,inhand_early_stop,186,564,58.760264,failed,z_depth+inhand_bias,-0.001436874,0.000067306,-0.031496352,0.997282481,fail,0.040848251,inhand_early_stop,186,601,60.213587
1000022,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.005712863,-0.000094865,-0.014219281,0.852058291,fail,0.040327232,inhand_early_stop,107,519,46.385875,failed,z_depth+inhand_bias,-0.002630971,0.002769268,-0.004644212,0.999331328,fail,0.040313652,inhand_early_stop,204,594,60.299313
1000023,pi,both_failed,failed,z_depth+inhand_bias,-0.002122761,-0.001384225,-0.025210257,0.995145413,fail,0.040401897,inhand_early_stop,171,586,57.574589,failed,z_depth+inhand_bias,-0.009376409,-0.002577668,-0.006854275,0.994632630,fail,0.040508199,inhand_early_stop,163,548,53.180195
1000024,0,both_failed,failed,z_depth+inhand_bias,0.001419898,-0.000617934,-0.029393833,0.996378489,fail,0.040529661,inhand_early_stop,178,566,57.386310,failed,z_depth+orientation+inhand_bias,-0.007976461,-0.006940159,0.005297435,0.666922918,fail,0.040283166,inhand_early_stop,149,555,51.965126
1000025,0,both_success,success,,0.001883441,-0.000141745,-0.040484645,0.999414061,pass_implied,,success,150,532,52.311203,success,,0.001709638,0.000368605,-0.040894694,0.999760961,pass_implied,,success,144,572,51.246668
1000026,0,freeze_only,success,,0.001277263,-0.000491961,-0.040253392,0.998669419,pass_implied,,success,169,558,55.537463,failed,z_depth+orientation+inhand_bias,-0.001476108,-0.000031992,-0.018447892,0.979139975,fail,0.040178427,inhand_early_stop,226,662,65.472060
1000027,pi,both_failed,failed,z_depth+inhand_bias,-0.002405217,0.000995687,-0.021893192,0.993858165,fail,0.040607790,inhand_early_stop,160,563,55.729304,failed,z_depth+inhand_bias,-0.002116580,0.001274336,-0.023162145,0.994788927,fail,0.040404424,inhand_early_stop,189,608,59.199450
1000028,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.008207182,0.001669178,0.001600443,0.574516965,fail,0.040047377,inhand_early_stop,179,555,57.744037,failed,x+z_depth+orientation+inhand_bias,-0.014796174,-0.002173164,0.009000579,0.900490634,fail,0.040063829,inhand_early_stop,255,660,67.701126
1000029,pi,finetune_only,failed,z_depth+inhand_bias,-0.001880601,0.000797299,-0.034803095,0.998461565,fail,0.040404701,inhand_early_stop,216,622,65.693028,success,,-0.001094095,0.000285829,-0.040236827,0.999969893,pass_implied,,success,102,493,44.017684
1000030,pi,both_failed,failed,z_depth+inhand_bias,-0.001864374,-0.001170403,-0.028545788,0.996835435,fail,0.040005459,inhand_early_stop,232,662,69.087527,failed,z_depth+inhand_bias,-0.002046999,-0.001571029,-0.029953260,0.997805733,fail,0.040248611,inhand_early_stop,268,653,70.004913
1000031,0,both_failed,failed,z_depth+orientation+inhand_bias,0.001703391,-0.001641440,-0.024134540,0.985981921,fail,0.040054589,inhand_early_stop,217,630,65.571103,failed,z_depth+inhand_bias,0.002062889,-0.001350382,-0.027589303,0.992917975,fail,0.040488548,inhand_early_stop,216,617,62.435031
1000032,pi,finetune_only,failed,z_depth+orientation,-0.003977849,-0.002534071,-0.003906300,0.783880089,unknown_not_recorded,,action_limit,300,692,79.092274,success,,-0.000594985,0.000748965,-0.040512037,0.999988513,pass_implied,,success,239,628,65.891374
1000033,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.007274424,-0.000460757,-0.012147670,0.788967786,fail,0.040085358,inhand_early_stop,185,567,58.448094,failed,z_depth+inhand_bias,0.000871229,0.000229360,-0.019484049,0.999420072,fail,0.040422985,inhand_early_stop,215,618,62.426408
1000034,pi,both_failed,failed,z_depth+orientation+inhand_bias,-0.002269729,-0.000064090,-0.020004343,0.982944179,fail,0.040779396,inhand_early_stop,85,476,42.995237,failed,x+z_depth+orientation+inhand_bias,-0.017228759,-0.008092787,-0.009244570,0.962558180,fail,0.040059301,inhand_early_stop,192,642,59.380955
