seed,rotate,pair_group,vision_result,vision_failed_conditions,vision_rel_x_m,vision_rel_y_m,vision_rel_z_m,vision_orientation_alignment,vision_inhand_status,vision_inhand_bias_m,vision_stop_reason,vision_actions,vision_cost_step,vision_cost_time_s,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s
1000088,0,both_failed,failed,z_depth+orientation+inhand_bias,0.001894871,-0.001438962,-0.024386727,0.989311514,fail,0.040160213,inhand_early_stop,185,599,57.604941,failed,z_depth+inhand_bias,0.002345136,-0.002125492,-0.025758968,0.991320750,fail,0.040743232,inhand_early_stop,228,648,65.005860
1000089,0,freeze_only_success,failed,z_depth+inhand_bias,0.002453449,0.001763989,-0.031853222,0.996310051,fail,0.040152275,inhand_early_stop,221,630,63.472205,success,,0.001874266,0.000919773,-0.040224442,0.998448199,pass_implied,,success,209,598,62.585107
1000090,0,both_failed,failed,z_depth+orientation+inhand_bias,0.002861975,0.001265048,-0.018002278,0.989394071,fail,0.040027817,inhand_early_stop,222,656,64.821801,failed,z_depth+inhand_bias,0.001787099,0.001506622,-0.027121738,0.994665701,fail,0.040270303,inhand_early_stop,205,613,62.683508
1000091,pi,both_failed,failed,z_depth+inhand_bias,-0.002373153,0.001082298,-0.021100670,0.991988708,fail,0.040288186,inhand_early_stop,213,649,64.234351,failed,x+z_depth+orientation,-0.024938479,-0.003106950,-0.012638204,0.787324243,unknown_not_recorded,,action_limit,300,727,77.648223
1000092,pi,freeze_only_success,failed,z_depth+inhand_bias,-0.001975487,0.001361157,-0.037091401,0.998066108,fail,0.040494325,inhand_early_stop,223,651,65.572170,success,,-0.000680051,-0.000120484,-0.040215653,0.998748279,pass_implied,,success,190,601,59.460371
1000093,0,both_success,success,,0.002180335,-0.000038109,-0.040248734,0.999278608,pass_implied,,success,155,560,52.459161,success,,0.000767851,-0.000042999,-0.040260042,0.999956330,pass_implied,,success,177,619,57.253873
1000094,0,freeze_only_success,failed,z_depth+orientation+inhand_bias,-0.008759155,-0.007307390,0.006428018,0.502328626,fail,0.040086337,inhand_early_stop,186,586,57.422389,success,,0.001394659,-0.000680427,-0.040665867,0.999870865,pass_implied,,success,213,649,64.152074
1000095,pi,freeze_only_success,failed,z_depth+orientation+inhand_bias,0.008277633,-0.000255566,-0.008390279,0.591452338,fail,0.040581396,inhand_early_stop,269,678,69.362636,success,,-0.000412277,0.000545731,-0.041029584,0.999840749,pass_implied,,success,266,679,71.334601
1000096,pi,both_failed,failed,z_depth+inhand_bias,-0.001804105,0.000638796,-0.033186238,0.997300705,fail,0.040437657,inhand_early_stop,153,572,54.688844,failed,z_depth+inhand_bias,-0.001972889,0.000330645,-0.030670200,0.997476579,fail,0.040046181,inhand_early_stop,148,560,53.284337
1000097,pi,freeze_only_success,failed,z_depth+orientation+inhand_bias,0.008259121,-0.000800349,-0.008571796,0.602558760,fail,0.040039843,inhand_early_stop,264,674,68.881900,success,,-0.000712022,0.000022938,-0.040500976,0.998796172,pass_implied,,success,262,675,71.111577
1000098,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008738898,-0.000423084,-0.009140207,0.661077060,fail,0.040560650,inhand_early_stop,172,584,62.403344,failed,z_depth+orientation+inhand_bias,0.006698122,-0.000613213,-0.012390454,0.800001831,fail,0.040057621,inhand_early_stop,176,569,55.754707
1000099,pi,both_failed,failed,z_depth+inhand_bias,-0.001799608,-0.000997708,-0.024809398,0.993995142,fail,0.040143317,inhand_early_stop,237,680,78.895118,failed,z_depth+orientation+inhand_bias,-0.001652651,-0.000178836,-0.021116037,0.989174537,fail,0.040528651,inhand_early_stop,200,626,62.030994
